iteration,relative_residual
1,0.06265524159469284
2,0.0189988339304241
3,0.006732103065612786
4,0.004192737467751531
5,0.00394021403669209
6,0.003934996143123128
7,0.00393504502362089
8,0.003935249210294979
9,0.003935577011589051
10,0.003936001679052171
11,0.003936500707833809
12,0.003937055231005496
13,0.003937649495736814
14,0.003938270410761648
15,0.003938907155843255
16,0.00393955084508808
17,0.003940194236976223
18,0.003940831484879063
19,0.003941457922632412
20,0.003942069880436061
21,0.003942664526967022
22,0.003943239734134436
23,0.003943793961375407
24,0.003944326156804286
25,0.003944835672885774
26,0.003945322194615534
27,0.003945785678463121
28,0.003946226300568416
29,0.00394664441288697
30,0.00394704050615808
31,0.00250259198237465
32,0.000991231677983891
33,0.0007281810201181356
34,0.0007040901696534083
35,0.0007031290101172063
36,0.0007031111823728876
37,0.0007031179355594652
38,0.0007031284959719264
39,0.0007031420174485367
40,0.0007031577914914528
41,0.0007031752270338534
42,0.0007031938330505639
43,0.0007032132036220928
44,0.0007032330051146935
45,0.0007032529651843797
46,0.0007032728633526498
47,0.0007032925229359511
48,0.0007033118041403295
49,0.0007033305981589874
50,0.0007033488221321687
51,0.0007033664148484119
52,0.000703383333082775
53,0.0007033995484819356
54,0.0007034150449186382
55,0.0007034298162485268
56,0.0007034438644119987
57,0.0007034571978312306
58,0.0007034698300599335
59,0.0007034817786490519
60,0.0007034930641967712
